name,qid,filename,file_page,author,license,source,image_url,_saved_path
Nicolás González,Q43381082,Nicolas Gonzalez (cropped).jpg,https://commons.wikimedia.org/wiki/File:Nicolas Gonzalez (cropped).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Silesia711"" title=""User:Silesia711"">Silesia711</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Gonzalez%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Nicolas Gonzalez (cropped).jpg
Q20994118,Q20994118,RODRI - SWE vs ESP - UEFA EURO 2020 QUALIFIERS - 2019.10.15 (cropped).jpg,https://commons.wikimedia.org/wiki/File:RODRI - SWE vs ESP - UEFA EURO 2020 QUALIFIERS - 2019.10.15 (cropped).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Rolandhino1"" title=""User:Rolandhino1"">Rolandhino1</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/RODRI%20-%20SWE%20vs%20ESP%20-%20UEFA%20EURO%202020%20QUALIFIERS%20-%202019.10.15%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/RODRI - SWE vs ESP - UEFA EURO 2020 QUALIFIERS - 2019.10.15 (cropped).jpg
Stefan Ortega,Q821646,Stefan Ortega 3280w.jpg,https://commons.wikimedia.org/wiki/File:Stefan Ortega 3280w.jpg,"<a href=""//commons.wikimedia.org/wiki/User:Haraldbischoff"" title=""User:Haraldbischoff"">Haraldbischoff</a>",CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Stefan%20Ortega%203280w.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Stefan Ortega 3280w.jpg
Bernardo Silva,Q106075808,silhouette-player.png,,Wikimedia contributor,CC,fallback,/img/silhouette-player.png,
Rayan Aït-Nouri,Q50825738,Rayan Aït-Nouri playing for Algeria in 2024 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Rayan Aït-Nouri playing for Algeria in 2024 (cropped).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Anneprudence"" title=""User:Anneprudence"">Anneprudence</a>",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Rayan%20A%C3%AFt-Nouri%20playing%20for%20Algeria%20in%202024%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Rayan Aït-Nouri playing for Algeria in 2024 (cropped).jpg
Joško Gvardiol,Q73400656,2021 Joško Gvardiol 2 (cropped2).jpg,https://commons.wikimedia.org/wiki/File:2021 Joško Gvardiol 2 (cropped2).jpg,"crop by <a href=""//commons.wikimedia.org/wiki/User:FMSky"" title=""User:FMSky"">FMSky</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/2021%20Jo%C5%A1ko%20Gvardiol%202%20%28cropped2%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/2021 Joško Gvardiol 2 (cropped2).jpg
Gianluigi Donnarumma,Q20830808,Norway Italy - June 2025 B 33 - Gianluigi Donnarumma (close-up).jpg,https://commons.wikimedia.org/wiki/File:Norway Italy - June 2025 B 33 - Gianluigi Donnarumma (close-up).jpg,"<ul><li><b>Original: </b> <a href=""//commons.wikimedia.org/w/index.php?title=User:MichaelEmilio&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:MichaelEmilio (page does not exist)"">MichaelEmilio</a></li>
<li><b>Derivative work: </b> <a href=""//commons.wikimedia.org/w/index.php?title=User:Danyele&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Danyele (page does not exist)"">Danyele</a></li></ul>",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Norway%20Italy%20-%20June%202025%20B%2033%20-%20Gianluigi%20Donnarumma%20%28close-up%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Norway Italy - June 2025 B 33 - Gianluigi Donnarumma (close-up).jpg
Savinho,Q99485542,Clube Atlético Mineiro logo.svg,https://commons.wikimedia.org/wiki/File:Clube Atlético Mineiro logo.svg,"<a rel=""nofollow"" class=""external text"" href=""http://www.atletico.com.br/"">Clube Atlético Mineiro</a>",Public domain,club,https://commons.wikimedia.org/wiki/Special:FilePath/Clube%20Atl%C3%A9tico%20Mineiro%20logo.svg?width=400,/Users/mzahariev/footballspinner/public/players/Clube Atlético Mineiro logo.svg
Matheus Nunes,Q96211488,Matheus Nunes.2jpg.jpg,https://commons.wikimedia.org/wiki/File:Matheus Nunes.2jpg.jpg,"<a rel=""nofollow"" class=""external text"" href=""https://m.youtube.com/channel/UCnJj6L93JX3Jrhzv81ayywA"">Sporting Clube de Portugal</a>",CC BY 3.0 (https://creativecommons.org/licenses/by/3.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Matheus%20Nunes.2jpg.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Matheus Nunes.2jpg.jpg
Rúben Dias,Q21621168,RubenDiasCity2023.jpg,https://commons.wikimedia.org/wiki/File:RubenDiasCity2023.jpg,pantkiewicz,CC BY-SA 2.0 (https://creativecommons.org/licenses/by-sa/2.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/RubenDiasCity2023.jpg?width=800,/Users/mzahariev/footballspinner/public/players/RubenDiasCity2023.jpg
Luis Pedro Garcia,Q39500352,Reijnders arriva in albergo (cropped).jpg,https://commons.wikimedia.org/wiki/File:Reijnders arriva in albergo (cropped).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Saggittarius_A"" title=""User:Saggittarius A"">Saggittarius A</a>",CC BY 4.0 (https://creativecommons.org/licenses/by/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Reijnders%20arriva%20in%20albergo%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Reijnders arriva in albergo (cropped).jpg
Abdukodir Khusanov,Q111479885,Lens - Torino FC (02-08-2023) 58.jpg,https://commons.wikimedia.org/wiki/File:Lens - Torino FC (02-08-2023) 58.jpg,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Supporterh%C3%A9ninois&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Supporterhéninois (page does not exist)"">Supporterhéninois</a>",CC0 (http://creativecommons.org/publicdomain/zero/1.0/deed.en),player,https://commons.wikimedia.org/wiki/Special:FilePath/Lens%20-%20Torino%20FC%20%2802-08-2023%29%2058.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Lens - Torino FC (02-08-2023) 58.jpg
Phil Foden,Q30729096,"2023-10-04 Fußball, Männer, UEFA Champions League, RB Leipzig - Manchester City FC 1DX 2613, Phil Foden.jpg","https://commons.wikimedia.org/wiki/File:2023-10-04 Fußball, Männer, UEFA Champions League, RB Leipzig - Manchester City FC 1DX 2613, Phil Foden.jpg","<a href=""//commons.wikimedia.org/wiki/User:Stepro"" title=""User:Stepro"">Steffen Prößdorf</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/2023-10-04%20Fu%C3%9Fball%2C%20M%C3%A4nner%2C%20UEFA%20Champions%20League%2C%20RB%20Leipzig%20-%20Manchester%20City%20FC%201DX%202613%2C%20Phil%20Foden.jpg?width=800,/Users/mzahariev/footballspinner/public/players/2023-10-04 Fußball Männer UEFA Champions League RB Leipzig - Manchester City FC 1DX 2613 Phil Foden.jpg
John Stones,Q2025900,1 john stones 2015 (cropped).jpg,https://commons.wikimedia.org/wiki/File:1 john stones 2015 (cropped).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Chensiyuan"" title=""User:Chensiyuan"">Chensiyuan</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/1%20john%20stones%202015%20%28cropped%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/1 john stones 2015 (cropped).jpg
Oscar Bobb,Q110466658,ManCity20240722-050 (Oscar Bobb2).jpg,https://commons.wikimedia.org/wiki/File:ManCity20240722-050 (Oscar Bobb2).jpg,"<a href=""//commons.wikimedia.org/wiki/User:Hameltion"" title=""User:Hameltion"">Hameltion</a>",CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/ManCity20240722-050%20%28Oscar%20Bobb2%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/ManCity20240722-050 (Oscar Bobb2).jpg
Nathan Aké,Q1755683,Yokohama F. Marinos - Manchester City (3-5) - 53075276224 (Nathan Ake).jpg,https://commons.wikimedia.org/wiki/File:Yokohama F. Marinos - Manchester City (3-5) - 53075276224 (Nathan Ake).jpg,pantkiewicz,CC BY-SA 2.0 (https://creativecommons.org/licenses/by-sa/2.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Yokohama%20F.%20Marinos%20-%20Manchester%20City%20%283-5%29%20-%2053075276224%20%28Nathan%20Ake%29.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Yokohama F. Marinos - Manchester City (3-5) - 53075276224 (Nathan Ake).jpg
Divine Mukasa,Q131382825,silhouette-player.png,,Wikimedia contributor,CC,fallback,/img/silhouette-player.png,
Omar Marmoush,Q28065104,OmarMarmoush.png,https://commons.wikimedia.org/wiki/File:OmarMarmoush.png,Yallakora,CC BY 3.0 (https://creativecommons.org/licenses/by/3.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/OmarMarmoush.png?width=800,/Users/mzahariev/footballspinner/public/players/OmarMarmoush.png
Mateo Kovačić,Q701297,"Chelsea vs. Arsenal, 29 May 2019 18 Kovacic.jpg","https://commons.wikimedia.org/wiki/File:Chelsea vs. Arsenal, 29 May 2019 18 Kovacic.jpg",Amir Hosseini,CC BY 4.0 (https://creativecommons.org/licenses/by/4.0),player,https://commons.wikimedia.org/wiki/Special:FilePath/Chelsea%20vs.%20Arsenal%2C%2029%20May%202019%2018%20Kovacic.jpg?width=800,/Users/mzahariev/footballspinner/public/players/Chelsea vs. Arsenal 29 May 2019 18 Kovacic.jpg
